Name	Type	Level	Cost	ContinuedCost	CastTime	Range	Discription
Leap	BA	0	1	3 if sprinting	NA	NA	You hold the ability to jump an unnatural distance/height. Using this ability, you may jump over up to 2 spaces without receiving any effects that they may give you. You may also jump up to 4 spaces with a running start (2 spaces of sprint action before using this ability)
Acrobatics	BA	0	2	NA	NA	NA	Using your extremely agile ability you have an easier time dodging any attack or targeted spell. You may also easily climb walls* and jump over single space areas. If used to dodge, and the player rolls a critical success, even attacks or spells that are natural 20s may be avoided.
Climber	BA	0	5	5 per 3 meters/10ft	NA	NA	* walls must have available and obvious foot/handholds, not like a wall of flat ice.
Master Manipulator	BA	0	2	2 per action stolen	NA	NA	This ability allows a user, once per combat, to use actions of party members with, or without their consent. Each action they use from another player uses costs an additional 2 Stamina. Any actions taken must be used within the round they are taken in. This must be used on a player’s turn.
Storyteller	BA	0	A Story	NA	NA	NA	To use this ability the player presents a question to the GM about a problem they may be facing, information about a character, a place, or a thing. If the question is accepted, the user of this ability must tell a story to others around them, in character. If the other characters are amused by the story the question is then answered by the GM. Amusement is decided by vote. 
Melody	BA	0	NA	NA	NA	NA	This requires the user of this ability to have an instrument of some kind. Using this ability allows the player to play a song to buff all within earshot with +2 damage dealt with basic attacks, debuff by reducing damage dealt by 2, or persuading others into action. The player must perform the music of some sort, for the party out of character. 
Gumba Stomp	BA	0	5	NA	NA	NA	May be used once per combat. The user of this ability jumps up onto the head of a target in an adjacent space. Doing so successfully causes the immediate death roll of the target. This can not be performed on the same target more than once per combat
Light-Footed	BA	0	NA	NA	NA	NA	This is a passive ability that makes the holder immune to rough terrain and undetectable by sound.
Heavy Chop	BA	0	3	NA	NA	NA	Swing downward at an adjacent target which deals double damage. If successful, 3 adjacent squares around the targe are turned into rough terrain spaces. It May not be used again for 5 rounds of combat. 
Quick Attack 	BA	0	NA	NA	NA	NA	Attack a target with a melee or ranged basic attack that deals x1.5 damage. If the player rolls a critical success, restore one action of the players choosing. After use, this may not be used until after 3 rounds of combat
Hella Drugs	BA	0	5	NA	NA	NA	Upon acquiring this ability, add 5 vials of “serum” to your inventory. Consuming a vile pump all the drinker’s muscles up allowing them to deal triple damage for the next two rounds of combat as well as doubling their size. After the effects wear off the drinker must use a round of combat to drink water before they may do any other action. Consuming a vial without this ability causes the drinker a single round of quadruple damage and a death roll one step higher than their current step at the end of the round. 
